count,avgPrice,vehicleType,year,power,mileage,brand,transmission,Damage
137,10.613,2,1995,178.8,131.788,1,0,0
111,10.26,2,1996,176.3,136.577,1,0,0
132,7.429,2,1997,174.2,140.227,1,0,0
201,5.533,2,1998,186.3,140.398,1,0,0
329,6.154,2,1999,249.1,137.128,1,0,0
345,6.456,2,2000,184.3,135.478,1,0,0
417,6.957,2,2001,207.8,133.094,1,0,0
507,8.953,2,2002,198.4,127.909,1,0,0
516,10.154,2,2003,188.1,126.628,1,0,0
548,11.098,2,2004,196.2,124.425,1,0,0
531,12.888,2,2005,217.1,118.672,1,0,0
533,15.179,2,2006,227.5,117.542,1,0,0
590,17.094,2,2007,234.4,114.593,1,0,0
685,39.739,2,2008,229.3,109.584,1,0,0
625,20.281,2,2009,220.1,100.656,1,0,0
586,25.004,2,2010,223.9,87.295,1,0,0
602,28.898,2,2011,241.9,79.186,1,0,0
410,33.264,2,2012,243.1,63.256,1,0,0
298,36.783,2,2013,231.7,42.399,1,0,0
225,42.419,2,2014,244.4,32.489,1,0,0
167,57.15,2,2015,262.2,15.09,1,0,0
30,155.913,2,2016,424.1,6.167,1,0,0
150,3.559,4,1991,219.5,135.367,1,0,0
215,3.267,4,1992,149.3,134.651,1,0,0
189,2.94,4,1993,203.9,135.423,1,0,0
226,2.499,4,1994,147,133.717,1,0,0
331,1.973,4,1995,147.4,137.251,1,0,0
461,2.104,4,1996,151.4,138.579,1,0,0
631,2.162,4,1997,143.6,137.021,1,0,0
738,2.49,4,1998,147,136.863,1,0,0
1043,2.586,4,1999,146.7,139.42,1,0,0
1087,3.122,4,2000,152.3,136.431,1,0,0
1064,3.401,4,2001,147.4,136.142,1,0,0
1199,4.379,4,2002,167.2,134.329,1,0,0
1135,5.367,4,2003,171.5,137.256,1,0,0
1354,6.836,4,2004,183.4,136.004,1,0,0
1402,8.174,4,2005,187.6,134.743,1,0,0
1384,9.808,4,2006,198.6,132.569,1,0,0
1281,11.124,4,2007,191.1,128.185,1,0,0
1246,12.796,4,2008,192.8,122.58,1,0,0
1202,97.876,4,2009,193,112.712,1,0,0
1193,17.495,4,2010,193.2,98.701,1,0,0
1277,18.774,4,2011,192.1,89.236,1,0,0
